#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCA6	APOD	9606.ENSP00000284425	9606.ENSP00000345179	0	0	0	0	0.127	0	0	0.415	0.468
ABCA6	ABCA8	9606.ENSP00000284425	9606.ENSP00000467271	0	0	0.061	0.959	0.345	0.255	0	0.389	0.683
ABCA8	ADH1B	9606.ENSP00000467271	9606.ENSP00000306606	0	0	0	0	0.391	0	0	0.236	0.514
ABCA8	SVEP1	9606.ENSP00000467271	9606.ENSP00000363593	0	0	0	0	0.232	0.071	0	0.231	0.404
ABCA8	IGF1	9606.ENSP00000467271	9606.ENSP00000376637	0	0	0	0	0.151	0	0	0.403	0.471
ABCA8	MFAP4	9606.ENSP00000467271	9606.ENSP00000378957	0	0	0	0	0.138	0.045	0	0.442	0.501
ACACB	PDK4	9606.ENSP00000341044	9606.ENSP00000005178	0	0	0	0	0.092	0.091	0	0.435	0.493
ACACB	DGAT2	9606.ENSP00000341044	9606.ENSP00000228027	0	0	0	0	0.062	0	0	0.571	0.581
ACACB	ACADL	9606.ENSP00000341044	9606.ENSP00000233710	0.043	0	0	0	0.074	0	0.265	0.490	0.623
ACACB	LIPE	9606.ENSP00000341044	9606.ENSP00000244289	0.042	0	0	0	0.131	0	0	0.513	0.559
ACACB	FABP4	9606.ENSP00000341044	9606.ENSP00000256104	0	0	0	0	0.119	0	0	0.438	0.483
ACACB	CCNB1	9606.ENSP00000341044	9606.ENSP00000256442	0	0	0	0	0	0.066	0	0.426	0.440
ACACB	GPAM	9606.ENSP00000341044	9606.ENSP00000265276	0	0	0	0	0.250	0	0	0.531	0.634
ACACB	THRSP	9606.ENSP00000341044	9606.ENSP00000281030	0	0	0	0	0.143	0.139	0	0.589	0.670
ACACB	PPARG	9606.ENSP00000341044	9606.ENSP00000287820	0	0	0	0	0.064	0	0	0.490	0.503
ACACB	PLIN1	9606.ENSP00000341044	9606.ENSP00000300055	0	0	0	0	0.196	0	0	0.377	0.478
ACACB	GPD1	9606.ENSP00000341044	9606.ENSP00000301149	0	0	0	0	0.152	0	0	0.467	0.528
ACACB	LEP	9606.ENSP00000341044	9606.ENSP00000312652	0	0	0	0	0.183	0	0	0.573	0.636
ACACB	PCK1	9606.ENSP00000341044	9606.ENSP00000319814	0	0	0	0	0.097	0	0	0.456	0.487
ACACB	ALDOC	9606.ENSP00000341044	9606.ENSP00000378731	0	0	0	0	0.054	0	0	0.404	0.412
ACACB	LPL	9606.ENSP00000341044	9606.ENSP00000497642	0	0	0	0	0.083	0	0	0.402	0.428
ACACB	ECHDC1	9606.ENSP00000341044	9606.ENSP00000436585	0.045	0	0	0	0	0	0.278	0.238	0.429
ACACB	ACSS3	9606.ENSP00000341044	9606.ENSP00000449535	0.055	0	0	0	0.123	0.069	0	0.355	0.435
ACACB	ADIPOQ	9606.ENSP00000341044	9606.ENSP00000389814	0	0	0	0	0.131	0	0	0.392	0.449
ACACB	HSDL2	9606.ENSP00000341044	9606.ENSP00000381785	0.095	0	0	0	0.124	0.052	0.174	0.292	0.481
ACACB	CD36	9606.ENSP00000341044	9606.ENSP00000415743	0	0	0	0	0.109	0	0	0.506	0.541
ACACB	ME1	9606.ENSP00000341044	9606.ENSP00000358719	0	0	0	0	0.123	0.071	0.152	0.525	0.628
ACACB	ACSL1	9606.ENSP00000341044	9606.ENSP00000422607	0	0	0	0	0.110	0	0	0.717	0.737
ACACB	SCD	9606.ENSP00000341044	9606.ENSP00000359380	0	0	0	0	0.299	0	0	0.664	0.754
ACADL	PDK4	9606.ENSP00000233710	9606.ENSP00000005178	0	0	0	0	0.102	0	0	0.607	0.632
ACADL	DGAT2	9606.ENSP00000233710	9606.ENSP00000228027	0	0	0	0	0.057	0	0	0.439	0.449
ACADL	PLIN1	9606.ENSP00000233710	9606.ENSP00000300055	0	0	0	0	0.079	0.053	0	0.368	0.401
ACADL	ACSS3	9606.ENSP00000233710	9606.ENSP00000449535	0.044	0	0	0	0.227	0	0.187	0.149	0.420
ACADL	GPAM	9606.ENSP00000233710	9606.ENSP00000265276	0	0	0	0	0.065	0	0	0.410	0.424
ACADL	ENPP2	9606.ENSP00000233710	9606.ENSP00000259486	0	0	0	0	0.048	0.045	0	0.435	0.441
ACADL	FABP4	9606.ENSP00000233710	9606.ENSP00000256104	0	0	0	0	0.071	0.058	0	0.442	0.469
ACADL	LPL	9606.ENSP00000233710	9606.ENSP00000497642	0	0	0	0	0.070	0	0	0.471	0.487
ACADL	SCD	9606.ENSP00000233710	9606.ENSP00000359380	0	0	0	0	0	0	0	0.492	0.492
ACADL	ACSM5	9606.ENSP00000233710	9606.ENSP00000327916	0.044	0	0	0	0.224	0	0.187	0.292	0.516
ACADL	ALDH2	9606.ENSP00000233710	9606.ENSP00000261733	0.042	0	0	0	0.133	0	0.182	0.379	0.522
ACADL	PPARG	9606.ENSP00000233710	9606.ENSP00000287820	0	0	0	0	0.049	0	0	0.531	0.535
ACADL	LIPE	9606.ENSP00000233710	9606.ENSP00000244289	0.045	0	0	0	0.106	0	0	0.506	0.542
ACADL	ECHDC1	9606.ENSP00000233710	9606.ENSP00000436585	0.046	0	0	0	0.299	0.091	0.185	0.302	0.591
ACADL	CD36	9606.ENSP00000233710	9606.ENSP00000415743	0	0	0	0	0.088	0	0	0.591	0.611
ACADL	PCK1	9606.ENSP00000233710	9606.ENSP00000319814	0	0	0	0	0.100	0	0	0.592	0.617
ACADL	HSDL2	9606.ENSP00000233710	9606.ENSP00000381785	0.107	0	0	0	0.211	0.099	0.643	0.185	0.781
ACADL	ACSL1	9606.ENSP00000233710	9606.ENSP00000422607	0.050	0	0	0	0.160	0.071	0.189	0.814	0.868
ACO1	PDK4	9606.ENSP00000309477	9606.ENSP00000005178	0	0	0	0	0.064	0.071	0	0.558	0.583
ACO1	PYGL	9606.ENSP00000309477	9606.ENSP00000216392	0.042	0	0	0	0.073	0	0	0.389	0.411
ACO1	CAT	9606.ENSP00000309477	9606.ENSP00000241052	0	0	0	0	0.187	0.091	0	0.273	0.416
ACO1	ALDH2	9606.ENSP00000309477	9606.ENSP00000261733	0.042	0.002	0	0	0.085	0.084	0	0.484	0.531
ACO1	ALDH1A1	9606.ENSP00000309477	9606.ENSP00000297785	0.042	0.002	0	0	0.060	0.084	0	0.499	0.532
ACO1	AIFM2	9606.ENSP00000309477	9606.ENSP00000478931	0	0	0	0	0.070	0.140	0	0.321	0.410
ACO1	PCK1	9606.ENSP00000309477	9606.ENSP00000319814	0	0	0	0	0.104	0	0	0.406	0.445
ACO1	ME1	9606.ENSP00000309477	9606.ENSP00000358719	0.042	0	0	0	0.075	0	0	0.438	0.459
ACO1	ECHDC1	9606.ENSP00000309477	9606.ENSP00000436585	0	0	0	0	0.127	0.299	0	0.197	0.465
ACO1	ACSL1	9606.ENSP00000309477	9606.ENSP00000422607	0	0	0	0	0.065	0.069	0	0.461	0.491
ACO1	GPX3	9606.ENSP00000309477	9606.ENSP00000373477	0	0	0	0	0.067	0	0	0.681	0.690
